Front	Back	Tags
"【3.2 图像识别原题场景】ONNX 模型输出类似：
```python
accuracy = [[0.02, 0.13, 0.85]]
```

要求找到概率最大的类别索引。

提示：NumPy 找最大值位置；注意第一维是样本。

问：怎么写？"	"```python
idx = np.argmax(accuracy[0])
```

⚠️ 你之前容易直接写 `np.argmax(accuracy)`，考试时先根据输出结构取出样本。"	3.2::argmax
"【3.2 图像识别原题场景】已经得到：
```python
idx = np.argmax(accuracy[0])
```

现在需要得到该类别的概率并转换为百分比。

问：怎么写？"	"```python
prob = accuracy[0][idx] * 100
```"	3.2::概率
"【3.2 图像识别原题场景】Python 字典中需要取得第一个 key。

你曾经写过：
```python
my_dict.keys()[0]
```

问：为什么错？正确写法是什么？"	"`dict.keys()` 返回的是 view，不能直接用 `[0]` 索引。

正确：
```python
list(my_dict.keys())[0]
```"	3.2::dict::易错
"【3.2 图像识别原题场景】题目要求取得字典所有 key。

问：正确方法是什么？有没有 `get_keys()`？"	"正确：
```python
my_dict.keys()
```

没有 `get_keys()`。"	3.2::dict
"【3.2 图像识别原题场景】模型输出是一批分类概率，你需要找到预测类别。

提示：最大概率的位置就是类别索引。

问：核心函数是什么？"	"```python
np.argmax()
```

典型：
```python
idx = np.argmax(probabilities[0])
```"	3.2::argmax
"【综合原题】看到一个新的 Pandas 数据处理题，不确定从哪里开始。

提示：不要直接写复杂代码，先完成固定流程。

问：考试时建议按什么顺序？"	"① 读取数据
② `head/info/shape` 看结构
③ 清洗/处理缺失值和类型
④ 建立筛选条件
⑤ `groupby/agg/value_counts` 做统计
⑥ 保存结果
⑦ 根据结果写结论"	综合::考试流程
"【综合原题】题目最后要求把处理结果保存为 CSV。

提示：DataFrame 有一个直接的方法。

问：常用写法？"	"```python
result.to_csv('result.csv', index=False)
```

⚠️ `index=False` 通常用于避免把 DataFrame 索引额外保存成一列。"	综合::保存结果
"【综合原题】刚拿到一个陌生 DataFrame，考试时最先看哪些东西？

提示：结构、前几行、形状、类型。"	"```python
data.head()
data.info()
data.shape
data.dtypes
```

这一步可以帮助你确认列名、类型、缺失值和数据规模。"	综合::Pandas
"【Review 易错复盘】你在 1.1.1 中反复出现 `np.where` / `np.cut` / 不存在函数的混淆。

如果题目是“根据条件 A/B 二选一”，应该优先想到什么？"	"```python
np.where(condition, A, B)
```

如果题目是“按照数值区间分组”，优先想到：
```python
pd.cut()
```"	Review::1.1.1
"【Review 易错复盘】你在 1.1.2 中反复卡在 groupby/agg。

看到“分组 + 多个统计量”，先在脑中套哪个模板？"	"```python
data.groupby('类别')['数值列'].agg(['count', 'mean'])
```

然后根据题目替换列名和聚合函数。"	Review::1.1.2
"【Review 易错复盘】你在 3.2 中出现 `InferenceSessioin`、`keys()[0]` 等错误。

如果考试时代码突然报 AttributeError/拼写错误，第一反应检查什么？"	"① API 名字是否拼写正确；
② 是模块函数还是对象方法；
③ 返回对象是否支持当前操作。

你的典型例子：
`InferenceSession`、`dict.keys()`。"	Review::3.2
"【Review 易错复盘】你在代码题里有一种典型错误：凭感觉创造一个“好像存在”的函数。

例如：`np.check`、`np.dropna`、`pd.split`。

考试时遇到忘记 API，应该怎么处理？"	"不要连续试不存在的函数。

先判断对象：
- DataFrame 方法 → `data.xxx()`
- Series 方法 → `data['col'].xxx()`
- NumPy 函数 → `np.xxx()`
- sklearn 函数/模型 → `sklearn...` / `model.xxx()`

再回忆最接近的标准 API。"	Review::API辨析
"【Review 易错复盘】你练习中 1.1.2 的迭代次数明显高于其他题。

这说明考试前最应该额外复习哪个主题？"	"`groupby + agg`。

尤其记住：
```python
groupby('列')
.agg(['count', 'mean'])
```

以及“分组后选择列再聚合”的结构。"	Review::高频薄弱点
"【Review 易错复盘】你练习中 1.1.1 也出现较多迭代。

它最核心的函数辨析是什么？"	"`np.where()`：条件选择。

`pd.cut()`：连续数值分箱。

`isin()`：判断是否属于多个候选值。"	Review::高频薄弱点
"【考试前自测】如果我只给你一句：

“按类别统计每组的数量和平均值。”

不看任何提示，你应该能马上写出什么代码结构？"	"```python
data.groupby('类别')['数值列'].agg(['count', 'mean'])
```

如果你能在 5 秒内想到这个模板，这张卡就算掌握。"	自测::groupby
"【考试前自测】如果我只给你一句：

“判断每一行是否属于 A/B/C 三种类别之一。”

应该马上想到什么？"	"```python
data['col'].isin(['A', 'B', 'C'])
```"	自测::isin
"【考试前自测】如果我只给你一句：

“如果 Value > 80 就标记 High，否则 Normal。”

应该马上想到什么？"	"```python
np.where(data['Value'] > 80, 'High', 'Normal')
```"	自测::where
"【考试前自测】如果我只给你一句：

“找出模型输出中概率最大的类别。”

应该马上想到什么？"	"```python
idx = np.argmax(probabilities[0])
```"	自测::argmax
